Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Microsoft redistributable runtime DLLs VS2005 SP1(x86);8.0.50727.4053;SAP;08/10/2018 11:47;MsiExec.exe /qn /norestart /X{CEC7A786-A9C8-4EF7-BB59-6518E3B3C878};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{CEC7A786-A9C8-4EF7-BB59-6518E3B3C878}
Microsoft redistributable runtime DLLs VS2010 SP1 (x86);10.0.40219.1;SAP;08/10/2018 11:47;MsiExec.exe /qn /norestart /X{2385C070-EC26-4AB9-8718-E605C977C0ED};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{2385C070-EC26-4AB9-8718-E605C977C0ED}
Microsoft Silverlight;5.1.50907.0;Microsoft Corporation;28/09/2018 10:20;MsiExec.exe /qn /norestart /X{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}
Microsoft Visual C++ 2005 Redistributable;8.0.56336;Microsoft Corporation;15/03/2019 15:53;MsiExec.exe /qn /norestart /X{7299052b-02a4-4627-81f2-1818da5d550d};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{7299052b-02a4-4627-81f2-1818da5d550d}
Microsoft Visual C++ 2005 Redistributable (x64);8.0.61000;Microsoft Corporation;16/11/2018 15:47;MsiExec.exe /qn /norestart /X{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}
Microsoft Visual C++ 2005 Redistributable (x64);8.0.56336;Microsoft Corporation;15/03/2019 15:53;MsiExec.exe /qn /norestart /X{071c9b48-7c32-4621-a0ac-3f809523288f};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{071c9b48-7c32-4621-a0ac-3f809523288f}
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17;9.0.30729;Microsoft Corporation;23/11/2018 16:22;MsiExec.exe /qn /norestart /X{8220EEFE-38CD-377E-8595-13398D740ACE};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{8220EEFE-38CD-377E-8595-13398D740ACE}
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17;9.0.30729;Microsoft Corporation;15/03/2019 15:53;MsiExec.exe /qn /norestart /X{9A25302D-30C0-39D9-BD6F-21E6EC160475};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{9A25302D-30C0-39D9-BD6F-21E6EC160475}
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation;15/03/2019 15:53;MsiExec.exe /qn /norestart /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1D8E6291-B0D5-35EC-8441-6616F567A0F7}
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;10.0.40219;Microsoft Corporation;10/01/2019 16:52;MsiExec.exe /qn /norestart /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030;11.0.61030.0;Microsoft Corporation;15/03/2019 15:54;"""C:\ProgramData\Package Cache\{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}\vcredist_x64.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030;11.0.61030.0;Microsoft Corporation;15/03/2019 15:53;"""C:\ProgramData\Package Cache\{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}\vcredist_x86.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501;12.0.30501.0;Microsoft Corporation;19/12/2018 16:26;"""C:\ProgramData\Package Cache\{050d4fc8-5d48-4b8f-8972-47c82c46020f}\vcredist_x64.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{050d4fc8-5d48-4b8f-8972-47c82c46020f}
